transaction_id,customer_id,transaction_date,period,days_from_launch,post_flag,ramp_flag,campaign_flag,country,device_type,customer_tenure,risk_tier,transaction_value_usd,verification_completed,verification_time_seconds,manual_review,payment_declined,support_contact,fraud_confirmed
TXN0046691,CUST006298,2026-04-26,Post,25,1,0,0,US,Mobile,New,Low,5.0,1,164.28,0,1,0,0
TXN0042708,CUST024121,2026-04-19,Post,18,1,0,0,US,Mobile,New,Low,13.49,1,35.24,0,0,0,0
TXN0065591,CUST010825,2026-05-26,Post,55,1,0,0,US,Mobile,Existing,Low,113.52,1,50.03,0,0,0,0
TXN0026271,CUST023612,2026-03-21,Pre,-11,0,0,0,CR,Desktop,Existing,Low,11.61,1,81.84,0,0,0,0
TXN0040480,CUST021254,2026-04-15,Post,14,1,0,0,MX,Desktop,New,High,111.76,1,61.46,0,1,0,0
TXN0050945,CUST004656,2026-05-03,Post,32,1,0,0,CR,Desktop,Existing,Medium,43.04,1,196.35,1,0,1,0
TXN0039698,CUST022478,2026-04-14,Post,13,1,0,0,CR,Desktop,Existing,Low,12.14,1,37.46,0,0,0,0
TXN0028133,CUST011450,2026-03-25,Pre,-7,0,0,0,US,Desktop,New,Medium,26.62,1,109.47,0,0,0,0
TXN0026290,CUST004430,2026-03-21,Pre,-11,0,0,0,MX,Desktop,Existing,Low,23.87,1,384.64,1,0,0,0
TXN0046940,CUST024024,2026-04-27,Post,26,1,0,0,US,Desktop,Existing,Low,20.97,1,31.37,0,0,0,0
TXN0022504,CUST014173,2026-03-14,Pre,-18,0,0,0,CR,Mobile,Existing,Low,69.39,1,47.46,1,0,0,0
TXN0021379,CUST025333,2026-03-12,Pre,-20,0,0,0,US,Mobile,Existing,Low,100.22,1,199.66,0,0,0,0
TXN0050194,CUST023556,2026-05-02,Post,31,1,0,0,US,Mobile,Existing,Medium,139.84,1,60.55,0,0,0,0
TXN0064151,CUST003188,2026-05-24,Post,53,1,0,0,US,Mobile,New,Low,45.83,1,58.01,0,0,1,1
TXN0021249,CUST021965,2026-03-12,Pre,-20,0,0,0,BR,Desktop,New,Low,57.37,0,87.64,0,0,0,0
TXN0005809,CUST000710,2026-02-11,Pre,-49,0,0,0,US,Desktop,Existing,Medium,161.22,0,169.06,0,0,0,0
TXN0020312,CUST011067,2026-03-10,Pre,-22,0,0,0,US,Desktop,New,Low,144.2,1,52.49,0,0,0,0
TXN0032685,CUST018795,2026-04-02,Post,1,1,1,0,MX,Mobile,Existing,Medium,63.46,1,138.47,1,0,0,0
TXN0007040,CUST012553,2026-02-13,Pre,-47,0,0,0,US,Desktop,Existing,Low,252.77,1,99.32,1,0,0,0
TXN0000406,CUST005968,2026-02-02,Pre,-58,0,0,0,BR,Desktop,New,Medium,25.17,1,44.11,0,0,0,0
TXN0058028,CUST005570,2026-05-13,Post,42,1,0,0,BR,Desktop,New,Low,83.29,1,56.85,0,0,0,0
TXN0061114,CUST023036,2026-05-19,Post,48,1,0,0,CR,Mobile,New,Low,14.61,1,96.86,1,0,1,0
TXN0016222,CUST016394,2026-03-03,Pre,-29,0,0,0,US,Mobile,Existing,Medium,13.6,1,46.45,0,0,0,0
TXN0045931,CUST022089,2026-04-25,Post,24,1,0,0,MX,Mobile,Existing,Medium,164.23,1,131.08,0,0,0,0
TXN0067899,CUST009231,2026-05-30,Post,59,1,0,0,MX,Mobile,New,High,112.69,1,242.23,0,0,0,0
TXN0062022,CUST023402,2026-05-20,Post,49,1,0,0,US,Desktop,Existing,Low,40.6,1,87.04,0,0,0,0
TXN0062411,CUST021149,2026-05-21,Post,50,1,0,0,CR,Mobile,Existing,Low,175.24,0,68.4,1,0,0,0
TXN0060902,CUST022004,2026-05-18,Post,47,1,0,0,CR,Desktop,New,Low,98.7,1,110.96,0,0,0,0
TXN0000194,CUST009453,2026-02-01,Pre,-59,0,0,0,MX,Desktop,New,High,89.96,0,202.78,0,0,0,0
TXN0051322,CUST006136,2026-05-04,Post,33,1,0,1,US,Desktop,Existing,High,82.0,1,45.06,0,0,0,0
TXN0021846,CUST017298,2026-03-13,Pre,-19,0,0,0,US,Mobile,New,Low,55.51,1,123.34,1,0,0,0
TXN0009894,CUST019007,2026-02-19,Pre,-41,0,0,0,US,Mobile,Existing,High,12.67,0,163.12,1,0,0,0
TXN0055478,CUST022821,2026-05-09,Post,38,1,0,1,BR,Mobile,New,Medium,20.72,1,27.65,0,0,0,0
TXN0052031,CUST021501,2026-05-05,Post,34,1,0,1,BR,Desktop,Existing,Medium,60.82,1,23.42,0,0,0,0
TXN0049805,CUST021650,2026-05-01,Post,30,1,0,0,MX,Desktop,Existing,High,234.96,1,55.63,0,1,0,0
TXN0001440,CUST023699,2026-02-03,Pre,-57,0,0,0,US,Mobile,Existing,Low,134.87,1,108.86,1,0,0,0
TXN0000645,CUST004327,2026-02-02,Pre,-58,0,0,0,US,Mobile,Existing,High,30.43,0,111.19,0,0,0,0
TXN0008288,CUST016012,2026-02-16,Pre,-44,0,0,0,US,Mobile,Existing,High,56.13,1,281.68,1,0,0,0
TXN0067814,CUST002829,2026-05-30,Post,59,1,0,0,US,Desktop,Existing,Medium,18.23,1,99.93,0,0,0,0
TXN0005673,CUST022640,2026-02-11,Pre,-49,0,0,0,MX,Desktop,Existing,High,81.72,1,397.44,1,0,0,0
TXN0056879,CUST006810,2026-05-11,Post,40,1,0,0,BR,Mobile,Existing,Low,540.82,0,50.43,0,0,0,0
TXN0005143,CUST011598,2026-02-10,Pre,-50,0,0,0,US,Mobile,New,Low,109.03,1,59.81,0,0,0,0
TXN0003047,CUST010980,2026-02-06,Pre,-54,0,0,0,BR,Mobile,New,High,13.71,1,152.11,0,0,0,0
TXN0014115,CUST019991,2026-02-27,Pre,-33,0,0,0,BR,Desktop,Existing,High,39.41,0,70.29,1,1,0,0
TXN0033572,CUST013036,2026-04-03,Post,2,1,1,0,US,Mobile,Existing,Medium,29.82,1,61.46,0,0,0,0
TXN0032644,CUST003131,2026-04-02,Post,1,1,1,0,MX,Mobile,Existing,Low,19.6,1,21.92,0,0,0,0
TXN0028998,CUST003788,2026-03-26,Pre,-6,0,0,0,CR,Desktop,Existing,Low,91.28,1,67.68,0,0,0,0
TXN0005041,CUST004512,2026-02-10,Pre,-50,0,0,0,US,Desktop,Existing,Medium,251.12,1,115.27,1,0,0,0
TXN0059175,CUST017090,2026-05-15,Post,44,1,0,0,US,Mobile,Existing,Medium,427.2,1,103.56,1,0,0,0
TXN0036426,CUST017832,2026-04-08,Post,7,1,0,0,MX,Mobile,New,Low,37.59,1,52.32,0,0,0,0
TXN0041109,CUST003019,2026-04-16,Post,15,1,0,0,BR,Desktop,Existing,Low,121.42,1,91.19,0,0,0,0
TXN0029413,CUST004836,2026-03-27,Pre,-5,0,0,0,BR,Mobile,Existing,Medium,42.88,1,138.88,0,0,0,0
TXN0007131,CUST021888,2026-02-14,Pre,-46,0,0,0,US,Mobile,Existing,High,67.79,1,102.86,0,0,0,0
TXN0051369,CUST019719,2026-05-04,Post,33,1,0,1,US,Mobile,New,High,378.83,1,101.15,1,1,0,0
TXN0038814,CUST002048,2026-04-13,Post,12,1,0,0,BR,Mobile,New,Low,210.58,1,100.48,0,0,0,0
TXN0021950,CUST007306,2026-03-13,Pre,-19,0,0,0,CR,Mobile,Existing,Medium,51.47,0,124.36,0,0,0,0
TXN0030821,CUST023071,2026-03-30,Pre,-2,0,0,0,US,Desktop,New,Low,51.78,1,71.3,0,0,0,0
TXN0052846,CUST021012,2026-05-06,Post,35,1,0,1,US,Desktop,Existing,Low,174.73,1,30.67,0,0,0,0
TXN0048427,CUST023712,2026-04-29,Post,28,1,0,0,US,Mobile,New,High,99.44,1,55.27,0,1,0,0
TXN0051600,CUST005291,2026-05-04,Post,33,1,0,1,US,Mobile,New,Medium,227.13,1,115.02,1,0,0,0
TXN0049441,CUST005981,2026-05-01,Post,30,1,0,0,MX,Mobile,New,Low,76.37,1,29.98,0,0,0,0
TXN0005727,CUST022450,2026-02-11,Pre,-49,0,0,0,CR,Mobile,New,Medium,101.51,1,53.61,0,0,0,0
TXN0059639,CUST013283,2026-05-16,Post,45,1,0,0,US,Mobile,Existing,Low,191.84,1,58.05,0,0,0,0
TXN0013860,CUST014288,2026-02-26,Pre,-34,0,0,0,US,Desktop,Existing,Medium,68.9,1,145.43,0,0,0,0
TXN0062099,CUST000588,2026-05-20,Post,49,1,0,0,CR,Mobile,New,Low,63.1,1,27.62,0,0,0,0
TXN0066214,CUST000289,2026-05-27,Post,56,1,0,0,US,Mobile,New,Medium,48.85,1,116.89,1,0,0,0
TXN0027399,CUST015971,2026-03-23,Pre,-9,0,0,0,CR,Mobile,Existing,Medium,250.68,1,198.1,1,0,1,0
TXN0024050,CUST004207,2026-03-17,Pre,-15,0,0,0,BR,Mobile,Existing,Low,38.65,1,83.71,0,0,1,0
TXN0057971,CUST001584,2026-05-13,Post,42,1,0,0,BR,Mobile,Existing,Low,159.41,1,35.78,0,0,0,0
TXN0025547,CUST005575,2026-03-20,Pre,-12,0,0,0,US,Mobile,New,High,47.03,1,150.53,1,0,0,0
TXN0024103,CUST005293,2026-03-17,Pre,-15,0,0,0,BR,Mobile,Existing,Low,38.38,1,262.7,0,0,0,0
TXN0030863,CUST000205,2026-03-30,Pre,-2,0,0,0,MX,Mobile,New,Low,409.53,1,41.83,0,0,0,0
TXN0001029,CUST009136,2026-02-03,Pre,-57,0,0,0,US,Desktop,New,High,102.43,1,100.87,0,0,0,0
TXN0060339,CUST022686,2026-05-17,Post,46,1,0,0,MX,Mobile,Existing,Medium,63.79,1,56.43,0,0,0,0
TXN0050684,CUST024675,2026-05-03,Post,32,1,0,0,MX,Mobile,New,Medium,12.45,1,34.38,0,0,0,0
TXN0048852,CUST003733,2026-04-30,Post,29,1,0,0,US,Mobile,Existing,Medium,33.43,1,96.39,0,0,0,0
TXN0014375,CUST009200,2026-02-27,Pre,-33,0,0,0,CR,Mobile,Existing,Low,145.53,1,173.63,1,1,0,0
TXN0015944,CUST012127,2026-03-02,Pre,-30,0,0,0,BR,Desktop,New,High,151.07,1,123.26,1,0,0,0
TXN0028159,CUST002579,2026-03-25,Pre,-7,0,0,0,US,Mobile,Existing,Low,64.29,1,65.6,0,0,0,0
TXN0065571,CUST019250,2026-05-26,Post,55,1,0,0,CR,Mobile,Existing,Low,16.35,1,46.09,0,0,0,0
TXN0010816,CUST004038,2026-02-21,Pre,-39,0,0,0,BR,Mobile,New,Low,59.29,1,156.78,0,0,0,0
TXN0003532,CUST022772,2026-02-07,Pre,-53,0,0,0,MX,Mobile,New,Low,233.13,1,81.08,0,0,0,0
TXN0045399,CUST000048,2026-04-24,Post,23,1,0,0,US,Desktop,Existing,Medium,14.56,1,101.35,1,0,1,0
TXN0029077,CUST021079,2026-03-26,Pre,-6,0,0,0,BR,Mobile,New,Low,83.98,1,173.36,1,0,0,0
TXN0042229,CUST014399,2026-04-18,Post,17,1,0,0,MX,Desktop,Existing,High,67.26,1,80.35,0,0,0,0
TXN0027108,CUST007281,2026-03-23,Pre,-9,0,0,0,US,Desktop,Existing,Medium,76.04,0,199.29,1,0,0,0
TXN0025764,CUST003027,2026-03-20,Pre,-12,0,0,0,US,Mobile,New,Low,99.89,1,90.02,0,0,0,0
TXN0019847,CUST005943,2026-03-10,Pre,-22,0,0,0,BR,Desktop,Existing,Low,392.21,1,130.92,1,0,1,0
TXN0029102,CUST011136,2026-03-26,Pre,-6,0,0,0,BR,Mobile,New,Medium,206.57,1,82.24,0,0,0,0
TXN0031390,CUST001546,2026-03-31,Pre,-1,0,0,0,CR,Mobile,Existing,Low,184.41,1,97.28,0,0,0,0
TXN0053467,CUST013576,2026-05-07,Post,36,1,0,1,CR,Desktop,New,Low,62.26,1,19.41,0,0,0,0
TXN0052123,CUST003849,2026-05-05,Post,34,1,0,1,US,Desktop,Existing,Low,48.01,1,47.93,0,0,0,0
TXN0061400,CUST007792,2026-05-19,Post,48,1,0,0,br,Desktop,New,Low,57.9,1,38.85,0,0,0,0
TXN0020776,CUST006491,2026-03-11,Pre,-21,0,0,0,MX,Desktop,Existing,Low,74.84,1,30.63,0,0,0,0
TXN0029202,CUST025338,2026-03-26,Pre,-6,0,0,0,BR,Mobile,Existing,Medium,81.12,0,55.72,0,0,0,0
TXN0065181,CUST025285,2026-05-25,Post,54,1,0,0,CR,Mobile,New,Low,92.13,1,37.24,0,0,0,0
TXN0000475,CUST005657,2026-02-02,Pre,-58,0,0,0,MX,Desktop,Existing,Low,80.94,1,66.09,0,0,0,0
TXN0044689,CUST008220,2026-04-23,Post,22,1,0,0,US,Mobile,Existing,Low,45.23,1,108.37,0,0,0,0
TXN0064442,CUST002499,2026-05-24,Post,53,1,0,0,MX,Mobile,Existing,Medium,132.11,1,45.56,0,0,0,0
TXN0049675,CUST020274,2026-05-01,Post,30,1,0,0,US,Mobile,Existing,Low,66.38,1,44.54,0,0,1,0
TXN0037950,CUST021384,2026-04-11,Post,10,1,0,0,MX,Mobile,Existing,Medium,390.71,1,155.49,0,1,0,0
TXN0052463,CUST019898,2026-05-05,Post,34,1,0,1,US,Desktop,Existing,Low,57.53,1,18.93,0,0,1,0
TXN0019404,CUST004047,2026-03-09,Pre,-23,0,0,0,US,Mobile,New,Low,76.71,1,130.66,0,0,0,0
TXN0012308,CUST009101,2026-02-24,Pre,-36,0,0,0,BR,Mobile,Existing,Low,48.2,1,48.87,0,0,0,0
TXN0007613,CUST013746,2026-02-15,Pre,-45,0,0,0,CR,Desktop,Existing,Low,45.23,1,66.03,0,0,0,0
TXN0063412,CUST005002,2026-05-22,Post,51,1,0,0,US,Desktop,Existing,Medium,87.88,1,76.95,0,0,0,0
TXN0021641,CUST017222,2026-03-13,Pre,-19,0,0,0,MX,Mobile,Existing,Low,194.92,1,122.52,0,0,0,0
TXN0018099,CUST016186,2026-03-06,Pre,-26,0,0,0,US,Mobile,New,Low,62.59,1,206.72,1,0,0,0
TXN0047026,CUST025714,2026-04-27,Post,26,1,0,0,MX,Desktop,New,Low,50.33,1,28.25,0,0,0,0
TXN0052769,CUST022118,2026-05-06,Post,35,1,0,1,US,Mobile,New,Low,117.59,1,24.04,0,0,1,0
TXN0064326,CUST007583,2026-05-24,Post,53,1,0,0,MX,Mobile,New,Medium,106.36,1,64.69,0,0,0,0
TXN0050289,CUST000898,2026-05-02,Post,31,1,0,0,US,Mobile,Existing,Medium,30.16,1,71.59,0,1,0,0
TXN0010268,CUST008227,2026-02-20,Pre,-40,0,0,0,BR,Desktop,New,Medium,167.51,0,43.75,0,0,0,0
TXN0019824,CUST012983,2026-03-10,Pre,-22,0,0,0,CR,Desktop,New,Medium,20.22,1,62.46,0,0,0,0
TXN0052497,CUST010988,2026-05-05,Post,34,1,0,1,MX,Mobile,New,High,22.05,1,298.61,1,0,0,0
TXN0023780,CUST011566,2026-03-17,Pre,-15,0,0,0,US,Desktop,Existing,Low,82.33,1,110.87,0,0,0,0
TXN0068197,CUST014173,2026-05-30,Post,59,1,0,0,MX,Mobile,New,High,139.59,1,73.5,0,0,0,0
TXN0049736,CUST013090,2026-05-01,Post,30,1,0,0,CR,Mobile,Existing,Medium,51.27,1,91.93,1,0,0,0
TXN0038220,CUST018401,2026-04-12,Post,11,1,0,0,MX,Mobile,Existing,Medium,99.06,1,138.65,1,1,0,0
TXN0033701,CUST005362,2026-04-03,Post,2,1,1,0,US,Desktop,Existing,Medium,290.89,1,54.83,0,0,0,0
TXN0052175,CUST002391,2026-05-05,Post,34,1,0,1,US,Mobile,New,Medium,83.27,0,40.7,0,0,0,0
TXN0049744,CUST023844,2026-05-01,Post,30,1,0,0,BR,Mobile,Existing,Low,165.17,1,40.49,0,0,0,0
TXN0038619,CUST006893,2026-04-12,Post,11,1,0,0,us,Mobile,New,Low,57.92,1,94.97,0,0,0,0
TXN0035143,CUST016332,2026-04-06,Post,5,1,1,0,BR,Mobile,Existing,High,19.21,1,248.86,1,0,1,0
TXN0057265,CUST022169,2026-05-12,Post,41,1,0,0,US,Mobile,New,Low,171.92,1,60.44,0,0,0,0
TXN0004188,CUST018647,2026-02-08,Pre,-52,0,0,0,MX,Desktop,New,Low,245.23,1,50.19,0,0,0,0
TXN0023403,CUST001811,2026-03-16,Pre,-16,0,0,0,MX,Mobile,New,Medium,38.8,1,48.62,0,0,0,0
TXN0035523,CUST015923,2026-04-07,Post,6,1,1,0,US,Mobile,New,Low,152.63,1,52.54,0,0,0,0
TXN0059752,CUST020914,2026-05-16,Post,45,1,0,0,BR,Mobile,New,High,76.65,1,73.43,0,0,0,0
TXN0060957,CUST023053,2026-05-18,Post,47,1,0,0,US,Mobile,Existing,Medium,61.03,1,40.49,1,0,0,0
TXN0012734,CUST000065,2026-02-24,Pre,-36,0,0,0,BR,Mobile,Existing,Medium,292.51,0,19.33,0,0,0,0
TXN0066886,CUST021247,2026-05-28,Post,57,1,0,0,CR,Mobile,New,Medium,69.98,1,50.51,0,0,0,0
TXN0047613,CUST011674,2026-04-28,Post,27,1,0,0,BR,Mobile,Existing,Low,139.52,1,76.51,0,0,0,0
TXN0029241,CUST018159,2026-03-27,Pre,-5,0,0,0,US,Mobile,New,Low,276.27,1,108.77,0,0,0,0
TXN0009456,CUST021385,2026-02-18,Pre,-42,0,0,0,US,Desktop,Existing,High,110.36,1,140.9,0,0,0,0
TXN0067088,CUST018485,2026-05-28,Post,57,1,0,0,MX,Mobile,Existing,Low,92.64,1,60.62,0,0,0,0
TXN0004651,CUST022662,2026-02-09,Pre,-51,0,0,0,BR,Desktop,Existing,Low,77.42,1,120.86,0,0,0,0
TXN0041217,CUST018647,2026-04-17,Post,16,1,0,0,US,Mobile,Existing,High,94.66,1,179.26,1,0,0,0
TXN0065028,CUST009086,2026-05-25,Post,54,1,0,0,US,Desktop,New,Low,209.22,1,94.11,0,0,0,0
TXN0045584,CUST013384,2026-04-24,Post,23,1,0,0,CR,Desktop,Existing,Medium,169.47,0,34.98,0,0,0,0
TXN0023439,CUST001390,2026-03-16,Pre,-16,0,0,0,CR,Desktop,Existing,Low,61.08,1,45.7,0,0,0,0
TXN0040610,CUST016947,2026-04-16,Post,15,1,0,0,BR,Desktop,Existing,Medium,68.49,1,207.0,0,0,0,0
TXN0002791,CUST020813,2026-02-06,Pre,-54,0,0,0,US,Mobile,Existing,Low,154.49,0,44.94,1,0,0,0
TXN0009793,CUST011593,2026-02-19,Pre,-41,0,0,0,BR,Mobile,New,Low,56.59,0,123.91,0,0,0,0
TXN0043111,CUST013985,2026-04-20,Post,19,1,0,0,US,Desktop,New,Low,34.47,1,85.21,0,0,0,0
TXN0038656,CUST015375,2026-04-12,Post,11,1,0,0,US,Mobile,Existing,Low,147.08,1,63.49,0,0,0,0
TXN0051524,CUST010875,2026-05-04,Post,33,1,0,1,MX,Desktop,Existing,Low,12.37,1,44.84,0,0,0,0
TXN0065710,CUST000143,2026-05-26,Post,55,1,0,0,US,Mobile,New,Medium,288.81,1,33.26,1,0,0,0
TXN0066995,CUST022612,2026-05-28,Post,57,1,0,0,US,Desktop,New,Low,87.7,1,78.46,1,0,0,0
TXN0019740,CUST002489,2026-03-09,Pre,-23,0,0,0,US,Desktop,New,Low,79.21,1,153.79,0,0,0,0
TXN0029002,CUST009972,2026-03-26,Pre,-6,0,0,0,US,Mobile,Existing,Low,70.48,1,126.21,0,0,0,0
TXN0001567,CUST013861,2026-02-03,Pre,-57,0,0,0,US,Mobile,Existing,Low,352.61,0,42.15,0,0,0,0
TXN0042596,CUST011158,2026-04-19,Post,18,1,0,0,US,Mobile,Existing,Low,149.93,1,47.39,1,0,0,0
TXN0033711,CUST008818,2026-04-03,Post,2,1,1,0,US,Desktop,Existing,Medium,37.93,0,311.89,1,0,0,0
TXN0063773,CUST000806,2026-05-23,Post,52,1,0,0,US,Mobile,New,Medium,166.31,1,24.26,0,0,0,0
TXN0044763,CUST002913,2026-04-23,Post,22,1,0,0,BR,Mobile,New,Low,48.74,1,50.9,0,0,0,0
TXN0020935,CUST009171,2026-03-11,Pre,-21,0,0,0,US,Desktop,Existing,Medium,80.42,0,185.94,1,0,0,0
TXN0037317,CUST016273,2026-04-10,Post,9,1,0,0,US,Mobile,New,Low,77.01,1,24.21,0,0,0,1
TXN0027829,CUST013862,2026-03-24,Pre,-8,0,0,0,MX,Mobile,New,Low,13.21,1,96.03,0,0,0,0
TXN0037950,CUST021384,2026-04-11,Post,10,1,0,0,MX,Mobile,Existing,Medium,390.71,1,155.49,0,1,0,0
TXN0011812,CUST019887,2026-02-23,Pre,-37,0,0,0,US,Desktop,New,Medium,15.23,1,147.6,1,0,1,0
TXN0040704,CUST022590,2026-04-16,Post,15,1,0,0,CR,Mobile,New,Medium,124.3,1,186.52,1,0,0,0
TXN0065323,CUST000333,2026-05-26,Post,55,1,0,0,US,Mobile,Existing,Low,37.38,1,67.68,0,0,0,0
TXN0000486,CUST011035,2026-02-02,Pre,-58,0,0,0,MX,Mobile,Existing,High,185.39,1,149.09,0,0,0,0
TXN0011423,CUST015851,2026-02-22,Pre,-38,0,0,0,US,Mobile,Existing,Low,162.67,1,94.56,0,0,0,0
TXN0016330,CUST014781,2026-03-03,Pre,-29,0,0,0,BR,Mobile,New,High,57.93,0,142.83,1,1,0,0
TXN0056204,CUST003441,2026-05-10,Post,39,1,0,1,BR,Mobile,New,Low,90.64,1,7399.0,0,0,1,0
TXN0010379,CUST002006,2026-02-20,Pre,-40,0,0,0,US,Mobile,Existing,Low,113.5,1,43.09,0,0,0,0
TXN0064810,CUST025373,2026-05-25,Post,54,1,0,0,US,Mobile,New,High,104.88,1,114.96,1,0,0,0
TXN0027250,CUST004475,2026-03-23,Pre,-9,0,0,0,BR,Mobile,Existing,Medium,82.4,1,107.33,0,0,0,0
TXN0052037,CUST007346,2026-05-05,Post,34,1,0,1,MX,Mobile,New,Low,69.48,1,52.25,0,0,0,0
TXN0038067,CUST011030,2026-04-11,Post,10,1,0,0,US,Mobile,Existing,Medium,265.12,1,141.0,0,0,0,0
TXN0066337,CUST000944,2026-05-27,Post,56,1,0,0,US,Mobile,New,Low,102.08,1,25.49,0,0,0,0
TXN0068477,CUST007617,2026-05-31,Post,60,1,0,0,US,Mobile,Existing,Medium,149.96,1,98.29,0,0,0,0
TXN0016873,CUST016549,2026-03-04,Pre,-28,0,0,0,US,Mobile,Existing,Low,127.46,1,74.49,0,0,0,0
TXN0061646,CUST013056,2026-05-19,Post,48,1,0,0,US,Mobile,Existing,Low,31.34,1,44.89,0,0,0,0
TXN0036589,CUST001128,2026-04-09,Post,8,1,0,0,BR,Mobile,Existing,Low,120.09,1,54.02,0,0,0,0
TXN0049904,CUST019962,2026-05-01,Post,30,1,0,0,US,Desktop,New,Low,129.28,1,52.85,0,0,0,0
TXN0066989,CUST008765,2026-05-28,Post,57,1,0,0,US,Mobile,Existing,Low,14.69,0,27.69,0,0,0,0
TXN0007675,CUST015306,2026-02-15,Pre,-45,0,0,0,BR,Mobile,Existing,Low,50.57,1,91.45,0,1,0,0
TXN0050846,CUST017373,2026-05-03,Post,32,1,0,0,CR,Mobile,Existing,Medium,84.77,1,34.36,0,0,0,0
TXN0003789,CUST008258,2026-02-08,Pre,-52,0,0,0,US,Desktop,Existing,Low,88.14,1,114.86,0,0,0,0
TXN0019483,CUST023229,2026-03-09,Pre,-23,0,0,0,US,Desktop,Existing,Low,49.49,1,127.52,1,0,0,0
TXN0052567,CUST024299,2026-05-05,Post,34,1,0,1,US,Mobile,New,Medium,26.44,1,121.67,1,0,0,0
TXN0026261,CUST021509,2026-03-21,Pre,-11,0,0,0,US,Desktop,Existing,Low,87.59,0,128.68,0,0,0,0
TXN0013903,CUST022920,2026-02-26,Pre,-34,0,0,0,BR,Desktop,New,High,245.79,1,125.12,0,0,0,0
TXN0008069,CUST025881,2026-02-16,Pre,-44,0,0,0,US,Mobile,Existing,Medium,44.73,1,137.64,1,0,1,0
TXN0006705,CUST021283,2026-02-13,Pre,-47,0,0,0,MX,Desktop,Existing,Medium,251.62,1,50.96,0,0,0,0
TXN0050684,CUST024675,2026-05-03,Post,32,1,0,0,MX,Mobile,New,Medium,12.45,1,34.38,0,0,0,0
TXN0037196,CUST001194,2026-04-10,Post,9,1,0,0,MX,Mobile,Existing,Medium,109.5,1,38.79,0,0,0,0
