merchant_id,as_of_date,country,industry,tenure_months,account_status,kyc_status,risk_tier,profitability_tier,monthly_payment_volume_usd,transaction_count_30d,avg_settlement_delay_hours,payout_failure_rate_90d,support_contacts_90d,mobile_app_active,instant_settlement_enabled,contacted_last_30d
LS016263,2026-08-01,BR,Retail,33,Active,Verified,Medium,Medium,7381.4,53,27.7,0.0168,2,0,0,0
LS020243,2026-08-01,US,Retail,23,Active,Verified,Low,High,8794.45,253,21.2,0.0219,0,0,0,0
LS041846,2026-08-01,US,Food & beverage,14,Active,Verified,High,High,4949.62,42,22.6,0.0176,0,1,0,0
LS025151,2026-08-01,MX,Retail,24,Active,Verified,Low,Medium,5098.3,51,30.3,0.0225,2,1,0,0
LS048274,2026-08-01,BR,Professional services,13,Active,Verified,Medium,Low,11352.33,229,65.9,0.0318,1,1,0,0
LS051118,2026-08-01,US,Professional services,59,Paused,Verified,High,Medium,23121.07,186,61.6,0.0325,1,1,1,0
LS043245,2026-08-01,US,Retail,10,Active,Pending,Medium,Medium,7778.35,160,18.1,0.0,1,0,0,0
LS045625,2026-08-01,BR,Food & beverage,16,Active,Verified,Low,Medium,12164.99,145,49.8,0.0282,0,1,0,0
LS029274,2026-08-01,CR,Food & beverage,78,Active,Verified,High,High,152160.86,3626,41.3,0.0321,2,1,1,1
LS021337,2026-08-01,US,Food & beverage,36,Active,Verified,Low,Medium,3997.19,80,4.0,0.0008,0,0,0,0
LS012523,2026-08-01,US,Professional services,67,Active,Verified,Low,Low,3713.86,40,16.7,0.0036,0,0,0,0
LS004409,2026-08-01,CR,Retail,53,Active,Verified,Medium,Medium,36686.81,626,26.6,0.0225,0,1,1,0
LS006508,2026-08-01,MX,Travel,5,Active,Verified,Low,Medium,10134.03,169,25.8,0.0331,0,1,0,0
LS024164,2026-08-01,US,Retail,30,Active,Pending,Low,Low,5022.75,67,4.0,0.0,1,0,0,0
LS030832,2026-08-01,US,Food & beverage,28,Paused,Pending,High,High,17520.35,271,25.6,0.0081,0,1,0,0
LS050349,2026-08-01,CR,Professional services,25,Active,Pending,Medium,Medium,40121.57,731,4.0,0.0,1,1,0,0
LS028595,2026-08-01,US,Food & beverage,9,Active,Verified,Low,Medium,2756.61,47,31.2,0.0,0,0,0,0
LS027183,2026-08-01,MX,Professional services,29,Active,Verified,Low,Low,43324.45,511,8.5,0.0046,0,1,1,0
LS032614,2026-08-01,US,Food & beverage,25,Active,Verified,Medium,High,12414.44,399,25.8,0.0,0,1,0,1
LS020401,2026-08-01,CR,Travel,10,Active,Pending,Low,Medium,4872.22,115,25.7,0.0249,2,1,0,1
LS011538,2026-08-01,BR,Retail,31,Active,Verified,Medium,Low,6785.52,111,12.6,0.0148,1,0,0,0
LS004599,2026-08-01,MX,Professional services,43,Active,Verified,Low,Low,9475.34,106,39.2,0.0291,1,0,0,0
LS055400,2026-08-01,CR,Retail,21,Active,Verified,Low,Low,39873.73,413,34.8,0.0221,2,1,0,0
LS043406,2026-08-01,BR,Retail,20,Active,Expired,Low,Medium,19746.88,172,39.5,0.0079,1,1,1,0
LS007838,2026-08-01,MX,Food & beverage,24,Paused,Verified,Medium,Medium,14813.33,233,41.5,0.0175,1,1,0,0
LS027682,2026-08-01,MX,Food & beverage,23,Active,Verified,Medium,Medium,16948.67,317,32.7,0.0152,0,1,0,0
LS003647,2026-08-01,US,Food & beverage,8,Active,Verified,Low,High,16399.06,273,26.9,0.0157,1,0,0,0
LS035152,2026-08-01,US,Professional services,78,Active,Verified,Low,Low,14589.98,177,34.5,0.0138,1,1,0,0
LS036837,2026-08-01,BR,Retail,15,Paused,Verified,Medium,Low,26059.73,403,33.1,0.0143,0,1,0,0
LS054498,2026-08-01,MX,Food & beverage,21,Active,Expired,Low,High,22424.11,425,17.9,0.0,0,0,0,0
LS009373,2026-08-01,US,Travel,24,Active,Verified,Medium,Medium,25125.77,315,26.6,0.0137,1,0,1,0
LS056004,2026-08-01,US,Travel,28,Active,Verified,Low,High,16679.83,267,26.1,0.0044,1,0,0,0
LS044515,2026-08-01,MX,Professional services,43,Active,Verified,Medium,Medium,16583.38,315,21.9,0.0005,1,0,1,0
LS000467,2026-08-01,MX,Digital goods,12,Active,Verified,Low,Low,11560.42,190,51.7,0.0232,0,1,1,0
LS031475,2026-08-01,US,Digital goods,84,Active,Verified,Low,Medium,10156.94,108,29.3,0.005,0,0,1,0
LS031669,2026-08-01,US,Digital goods,10,Active,Verified,Low,High,7391.42,106,20.4,0.0163,0,1,0,0
LS006781,2026-08-01,US,Retail,27,Active,Verified,Low,Medium,2467.86,24,19.9,0.0069,1,1,1,1
LS008058,2026-08-01,MX,Digital goods,17,Active,Verified,Medium,High,10981.51,121,31.0,0.0203,1,1,0,0
LS026906,2026-08-01,BR,Digital goods,15,Active,Pending,Medium,Low,9454.98,162,27.3,0.0026,0,1,1,0
LS037119,2026-08-01,MX,Retail,16,Active,Verified,Low,Medium,8907.58,166,29.6,0.0222,1,1,0,1
LS047124,2026-08-01,MX,Travel,10,Closed,Verified,Medium,Low,1185.56,11,24.3,0.0,1,0,0,0
LS028653,2026-08-01,BR,Food & beverage,29,Active,Verified,Medium,Medium,16701.89,259,18.9,0.0004,1,1,0,0
LS041648,2026-08-01,BR,Food & beverage,17,Active,Verified,Low,High,7661.98,167,52.0,0.0366,2,1,0,0
LS046925,2026-08-01,US,Travel,25,Active,Verified,Low,Low,12566.33,146,31.5,0.0107,0,1,0,0
LS036989,2026-08-01,BR,Food & beverage,33,Paused,Verified,Low,High,23720.76,364,37.7,0.0216,0,0,0,0
LS030685,2026-08-01,MX,Travel,21,Active,Verified,Low,Low,10396.49,94,19.4,0.0092,3,1,0,0
LS037339,2026-08-01,MX,Food & beverage,14,Active,Verified,High,Medium,30198.45,554,27.5,0.0075,1,0,0,0
LS011078,2026-08-01,CR,Food & beverage,18,Active,Pending,Medium,Low,42382.88,571,18.0,0.0039,0,1,0,0
LS008972,2026-08-01,BR,Travel,44,Active,Verified,Medium,Low,10799.37,141,49.9,0.0172,2,1,0,0
LS021663,2026-08-01,MX,Retail,84,Active,Verified,High,High,2659.54,27,22.4,0.0131,0,1,0,0
LS007274,2026-08-01,MX,Retail,10,Active,Verified,High,Medium,17858.63,421,20.6,0.0039,1,1,1,0
LS037273,2026-08-01,MX,Retail,44,Active,Verified,Medium,Low,9466.3,135,28.6,0.004,0,1,0,0
LS042125,2026-08-01,US,Professional services,62,Active,Verified,Medium,Medium,7910.82,135,9.1,0.0048,0,1,0,0
LS041690,2026-08-01,MX,Retail,22,Active,Verified,Low,Low,53050.14,530,52.2,0.0323,4,0,0,0
LS046956,2026-08-01,MX,Travel,58,Active,Verified,Low,Low,38123.89,1021,16.4,0.0,1,1,0,0
LS036771,2026-08-01,BR,Digital goods,76,Active,Verified,Low,Low,24559.06,482,34.4,0.0064,0,1,0,1
LS002725,2026-08-01,US,Retail,36,Active,Verified,Low,Low,8716.21,217,29.6,0.0039,0,0,0,0
LS016998,2026-08-01,MX,Professional services,19,Active,Verified,Medium,Medium,7103.42,117,10.6,0.0063,2,1,0,0
LS059124,2026-08-01,US,Retail,81,Active,Verified,Low,Medium,41553.51,823,18.2,0.0179,1,1,0,0
LS027683,2026-08-01,US,Retail,15,Active,Verified,Low,High,53754.7,690,12.8,0.0099,0,0,0,0
LS053351,2026-08-01,MX,Travel,43,Active,Verified,Low,Medium,9404.98,108,18.3,0.0139,0,1,0,0
LS050369,2026-08-01,US,Digital goods,10,Active,Verified,Medium,High,17074.53,246,7.2,0.0,1,1,0,0
LS021006,2026-08-01,US,Digital goods,21,Active,Verified,Low,High,20185.85,134,18.8,0.0145,0,1,0,0
LS029594,2026-08-01,BR,Professional services,6,Active,Verified,Low,Low,24727.99,295,36.9,0.0096,1,1,0,1
LS050654,2026-08-01,BR,Professional services,21,Active,Verified,Low,Medium,13242.76,470,27.0,0.0133,0,1,0,0
LS030214,2026-08-01,US,Professional services,17,Active,Verified,Low,High,15330.57,155,9.7,0.0,0,1,0,1
LS002554,2026-08-01,MX,Food & beverage,29,Active,Verified,Low,Medium,10610.99,76,22.5,0.0,0,1,1,0
LS038920,2026-08-01,BR,Professional services,23,Active,Verified,Low,Medium,5396.06,75,32.5,0.0121,1,1,0,0
LS049587,2026-08-01,MX,Professional services,15,Active,Verified,Medium,Medium,20243.4,174,32.4,0.0116,0,0,1,0
LS058058,2026-08-01,US,Professional services,16,Active,Verified,Medium,High,10990.57,172,22.4,0.0046,0,1,0,0
LS015397,2026-08-01,MX,Professional services,45,Active,Verified,Low,High,46189.44,1033,8.3,0.0087,1,1,0,0
LS010494,2026-08-01,US,Retail,54,Closed,Verified,Medium,Medium,11526.31,256,23.5,0.0006,1,0,0,0
LS046159,2026-08-01,BR,Travel,13,Active,Pending,Low,High,9809.56,162,39.7,0.0159,3,1,0,1
LS045478,2026-08-01,US,Food & beverage,20,Active,Verified,Low,High,12763.26,351,44.8,0.0236,1,1,1,0
LS045365,2026-08-01,US,Travel,12,Closed,Verified,Medium,Medium,11791.68,204,34.2,0.0101,1,1,0,1
LS009765,2026-08-01,US,Professional services,84,Active,Verified,High,Medium,2973.46,29,24.4,0.0264,1,0,0,0
LS033495,2026-08-01,MX,Food & beverage,15,Active,Verified,Medium,Low,9307.77,69,13.1,0.0048,0,1,0,0
LS000597,2026-08-01,US,Professional services,9,Active,Verified,Medium,Low,7363.7,116,23.5,0.0,1,1,1,0
LS048124,2026-08-01,BR,Professional services,6,Active,Verified,Medium,Low,66330.97,748,24.3,0.0082,0,0,0,0
LS019682,2026-08-01,MX,Retail,26,Active,Verified,Medium,High,2288.86,48,9.9,0.0059,0,1,0,0
LS024374,2026-08-01,US,Retail,31,Active,Verified,Low,Low,5512.75,56,34.9,0.0233,1,0,0,0
LS035400,2026-08-01,US,Retail,14,Active,Verified,Low,Low,3230.12,31,20.5,0.0058,0,0,0,0
LS031072,2026-08-01,US,Food & beverage,29,Active,Verified,Low,Medium,21958.18,239,14.1,0.0151,1,1,0,0
LS031255,2026-08-01,BR,Retail,9,Active,Verified,Medium,Medium,27854.07,374,15.6,0.0118,0,1,0,0
LS008284,2026-08-01,MX,Digital goods,25,Active,Pending,Low,High,4886.01,59,49.0,0.0072,0,1,0,0
LS012672,2026-08-01,BR,Digital goods,13,Active,Verified,Low,High,8263.59,87,34.1,0.0213,1,1,0,0
LS041960,2026-08-01,US,Retail,26,Active,Verified,Medium,Low,8122.5,96,53.6,0.0114,2,1,0,0
LS026824,2026-08-01,MX,Food & beverage,9,Active,Verified,Low,Low,8711.96,158,29.2,0.0017,0,0,0,0
LS001949,2026-08-01,BR,Digital goods,34,Active,Verified,Low,High,8075.72,88,23.9,0.0061,0,1,1,0
LS020699,2026-08-01,BR,Digital goods,16,Active,Verified,Low,Low,34212.16,281,38.4,0.0144,2,0,0,0
LS049533,2026-08-01,MX,Professional services,5,Active,Pending,Low,Medium,87762.27,1053,33.3,0.0038,1,0,0,0
LS020932,2026-08-01,US,Retail,6,Active,Verified,Low,Medium,8658.47,181,35.5,0.0199,1,0,0,0
LS010521,2026-08-01,CR,Professional services,49,Active,Verified,Low,Low,38291.77,449,47.3,0.0377,1,1,1,0
LS049021,2026-08-01,CR,Digital goods,16,Active,Verified,Medium,Medium,9232.79,97,36.5,0.0154,0,1,0,0
LS041426,2026-08-01,US,Food & beverage,23,Paused,Verified,High,Medium,3820.87,50,37.9,0.015,0,1,0,0
LS042985,2026-08-01,MX,Digital goods,43,Active,Verified,Low,Low,8129.84,108,24.2,0.0165,0,1,0,0
LS008735,2026-08-01,MX,Retail,14,Active,Verified,Medium,Low,23164.62,289,4.0,0.0004,0,0,0,0
LS013186,2026-08-01,US,Professional services,32,Active,Verified,Medium,Medium,13788.98,371,35.1,0.0248,2,1,1,0
LS044100,2026-08-01,BR,Retail,23,Active,Verified,Medium,High,24190.14,440,37.1,0.0177,1,1,0,0
LS032262,2026-08-01,MX,Food & beverage,38,Active,Verified,Medium,Medium,17920.65,120,31.0,0.006,0,1,0,0
LS058891,2026-08-01,US,Travel,45,Active,Verified,Low,High,13107.93,263,21.4,0.0212,0,0,0,0
LS004480,2026-08-01,BR,Retail,26,Active,Verified,Low,Low,8296.78,255,11.8,0.0044,0,0,0,0
LS043404,2026-08-01,MX,Retail,20,Active,Verified,Low,Low,17131.91,224,16.0,0.0087,1,1,0,0
LS003003,2026-08-01,BR,Retail,67,Active,Verified,High,Medium,4472.55,55,21.1,0.0016,3,0,0,0
LS004711,2026-08-01,MX,Professional services,13,Active,Verified,Low,High,38370.27,649,42.8,0.0168,0,1,0,0
LS041642,2026-08-01,US,Digital goods,29,Active,Verified,Low,Medium,995.62,16,4.4,0.0081,0,0,0,0
LS031804,2026-08-01,MX,Retail,13,Active,Verified,Low,Medium,7712.74,87,30.0,0.0238,2,1,0,0
LS029984,2026-08-01,US,Retail,17,Active,Verified,Low,Medium,11960.32,145,31.2,0.0188,2,1,0,0
LS002106,2026-08-01,BR,Professional services,32,Active,Verified,Medium,Low,10758.65,163,53.9,0.0354,1,1,0,0
LS058898,2026-08-01,MX,Travel,40,Active,Verified,Low,Low,10955.61,181,20.0,0.0,1,1,1,0
LS052125,2026-08-01,BR,Travel,16,Active,Verified,High,High,32874.17,546,40.8,0.0248,1,1,0,0
LS006122,2026-08-01,US,Professional services,15,Active,Expired,Low,Low,15388.58,466,37.0,0.0127,2,0,1,0
LS031761,2026-08-01,CR,Digital goods,60,Active,Verified,Medium,High,9710.46,78,9.7,0.0,0,1,1,1
LS034730,2026-08-01,BR,Food & beverage,23,Active,Pending,Low,Low,7256.2,58,25.1,0.0178,0,1,0,0
LS031059,2026-08-01,US,Professional services,10,Active,Verified,Low,Medium,13725.03,193,40.4,0.0344,2,1,0,0
LS043392,2026-08-01,US,Food & beverage,29,Active,Verified,Low,Low,8872.86,160,20.0,0.0212,0,0,0,0
LS041819,2026-08-01,BR,Retail,43,Active,Pending,Medium,High,37039.81,664,42.6,0.0218,1,0,0,0
LS009212,2026-08-01,US,Professional services,8,Active,Verified,Low,Low,6919.26,102,19.8,0.0134,2,1,1,0
LS032126,2026-08-01,US,Professional services,27,Active,Verified,Low,Medium,3371.72,32,4.0,0.0,0,1,0,0
LS048381,2026-08-01,MX,Retail,48,Active,Verified,Low,High,3332.24,73,66.1,0.0253,2,1,0,0
LS049471,2026-08-01,CR,Professional services,32,Active,Verified,Low,Medium,14833.87,174,22.7,0.0147,0,1,0,0
LS015492,2026-08-01,BR,Digital goods,32,Active,Verified,Low,Medium,53850.42,676,12.5,0.0,1,1,1,0
LS044704,2026-08-01,MX,Digital goods,52,Active,Verified,Low,Medium,1099.32,20,17.0,0.0082,1,0,0,0
LS033541,2026-08-01,MX,Retail,14,Active,Verified,Low,Low,5760.26,177,11.0,0.0,0,1,0,0
LS035335,2026-08-01,BR,Food & beverage,8,Active,Expired,Low,Low,8675.17,65,31.7,0.018,1,1,0,0
LS042564,2026-08-01,MX,Retail,28,Active,Verified,Low,Low,38337.08,763,24.8,0.0,1,1,0,0
LS021608,2026-08-01,BR,Digital goods,25,Active,Verified,Low,Low,21693.23,230,19.8,0.0095,1,1,0,0
LS016071,2026-08-01,US,Retail,28,Active,Verified,Low,Medium,19204.3,193,24.6,0.0,0,1,0,0
LS001114,2026-08-01,CR,Retail,41,Paused,Verified,High,High,5003.09,60,19.0,0.0081,0,0,0,0
LS049292,2026-08-01,US,Travel,14,Active,Pending,High,Medium,35644.09,605,26.4,0.0124,4,1,0,0
LS016181,2026-08-01,US,Food & beverage,18,Active,Verified,Low,Low,29289.54,354,48.0,0.0052,1,1,0,0
LS035629,2026-08-01,BR,Food & beverage,31,Active,Verified,High,Medium,7019.97,130,29.1,0.0171,0,0,0,0
LS012918,2026-08-01,US,Professional services,19,Active,Verified,Low,Medium,7574.01,72,30.1,0.0132,1,1,0,0
LS031503,2026-08-01,CR,Food & beverage,25,Active,Verified,Medium,Low,13458.73,250,50.3,0.0186,3,1,0,0
LS009410,2026-08-01,BR,Travel,48,Active,Verified,Low,Medium,13532.55,275,20.7,0.0078,0,0,0,0
LS015908,2026-08-01,BR,Retail,39,Active,Verified,Low,Low,59919.06,628,39.2,0.014,1,1,0,0
LS045707,2026-08-01,US,Food & beverage,9,Active,Verified,High,Low,44592.67,743,20.0,0.0,1,1,0,0
LS015116,2026-08-01,US,Professional services,35,Active,Verified,Low,Medium,4127.54,73,26.6,0.0212,1,0,0,0
LS032036,2026-08-01,MX,Professional services,55,Active,Pending,Low,Low,4896.85,63,39.6,0.0295,2,1,1,0
LS027463,2026-08-01,BR,Professional services,29,Paused,Verified,Low,Low,52515.66,505,27.4,0.0119,2,0,1,0
LS012043,2026-08-01,MX,Professional services,21,Closed,Verified,Low,High,2997.5,43,4.0,0.0029,2,0,0,0
LS046882,2026-08-01,CR,Food & beverage,42,Active,Verified,High,Low,7942.89,80,11.8,0.0057,0,0,0,0
LS032366,2026-08-01,US,Digital goods,28,Paused,Pending,Medium,High,44956.84,434,25.0,0.0143,1,1,1,0
LS031645,2026-08-01,US,Retail,25,Active,Verified,Medium,Medium,1668.3,17,4.0,0.0,4,0,0,0
LS000872,2026-08-01,MX,Food & beverage,32,Active,Verified,Low,High,42962.05,732,31.9,0.0162,0,1,1,0
LS046386,2026-08-01,US,Professional services,4,Active,Pending,Low,Low,33694.08,566,20.2,0.0021,0,1,0,0
LS041346,2026-08-01,BR,Professional services,36,Active,Verified,Low,Medium,15992.27,231,30.7,0.0187,0,1,1,0
LS033991,2026-08-01,US,Professional services,46,Active,Verified,Low,Low,4338.03,52,29.7,0.013,1,1,0,1
LS046569,2026-08-01,CR,Digital goods,11,Active,Verified,Medium,Low,8205.29,97,23.7,0.0238,1,1,0,0
LS007290,2026-08-01,CR,Professional services,14,Paused,Verified,Medium,Medium,33619.37,404,29.1,0.0148,0,1,0,0
LS017118,2026-08-01,BR,Professional services,25,Active,Verified,Medium,Low,14564.17,111,50.0,0.0187,0,0,0,0
LS039710,2026-08-01,BR,Digital goods,18,Active,Verified,Medium,Low,16744.12,245,23.6,0.001,1,0,0,0
LS026396,2026-08-01,BR,Travel,51,Active,Pending,High,Medium,17320.14,118,30.9,0.0186,0,1,0,0
LS010939,2026-08-01,US,Professional services,13,Active,Verified,Medium,Low,4230.6,79,28.5,0.0201,3,0,0,0
LS057030,2026-08-01,US,Professional services,51,Active,Verified,Medium,High,5592.62,178,34.9,0.0323,2,1,0,0
LS054923,2026-08-01,US,Digital goods,15,Active,Verified,High,Medium,29507.0,627,41.7,0.0097,1,0,0,1
LS044641,2026-08-01,US,Food & beverage,51,Active,Expired,Medium,Low,28446.02,359,7.5,0.0,0,1,0,0
LS028034,2026-08-01,US,Food & beverage,7,Active,Verified,Medium,Medium,12364.97,138,28.2,0.0028,0,1,0,0
LS010464,2026-08-01,BR,Digital goods,21,Active,Verified,Low,High,6710.55,66,43.7,0.0228,2,0,0,0
LS000660,2026-08-01,BR,Retail,19,Active,Verified,Low,Low,11669.09,300,31.4,0.0165,0,1,1,0
LS030269,2026-08-01,US,Digital goods,14,Paused,Pending,Low,Medium,14646.29,208,12.5,0.0,1,1,0,0
LS020565,2026-08-01,MX,Professional services,21,Active,Verified,Low,Medium,15491.24,109,50.1,0.0287,1,1,0,1
LS045787,2026-08-01,BR,Food & beverage,22,Active,Verified,Low,Low,49750.61,634,12.0,0.0042,2,1,0,0
LS023169,2026-08-01,CR,Digital goods,37,Active,Verified,High,Low,15014.57,202,24.9,0.0211,0,1,0,0
LS025548,2026-08-01,BR,Retail,83,Active,Verified,High,Medium,3083.92,94,33.3,0.0085,1,0,0,0
LS012273,2026-08-01,MX,Travel,48,Active,Verified,Medium,Low,24950.23,447,37.4,0.0167,1,1,1,0
LS004289,2026-08-01,MX,Retail,61,Active,Verified,Low,High,3446.8,45,22.2,0.0042,0,0,0,0
LS025729,2026-08-01,MX,Professional services,27,Active,Verified,Low,Medium,9645.76,165,57.0,0.0166,0,1,0,0
LS019909,2026-08-01,CR,Professional services,3,Active,Verified,Low,Medium,24195.81,403,28.3,0.0035,1,1,0,0
LS000036,2026-08-01,MX,Professional services,29,Active,Verified,High,Low,13586.13,173,27.9,0.014,2,1,0,0
LS022776,2026-08-01,CR,Digital goods,14,Active,Pending,Medium,High,40985.25,478,51.3,0.0199,4,1,0,0
LS026810,2026-08-01,BR,Retail,15,Active,Verified,Low,High,4826.26,68,38.3,0.0064,0,1,0,0
LS014314,2026-08-01,MX,Digital goods,19,Active,Verified,Low,High,14683.15,218,39.8,0.0255,1,1,0,0
LS053075,2026-08-01,MX,Retail,51,Active,Verified,Medium,Medium,8519.49,104,8.6,0.0041,0,1,0,1
LS026269,2026-08-01,MX,Retail,29,Active,Verified,Low,Medium,4621.66,54,34.5,0.0179,0,0,0,0
LS006680,2026-08-01,MX,Travel,45,Active,Verified,Medium,Medium,30300.99,844,21.6,0.0097,0,1,1,0
LS057093,2026-08-01,US,Professional services,51,Active,Verified,Medium,Medium,11945.66,152,11.7,0.0,1,1,0,0
LS009288,2026-08-01,CR,Digital goods,21,Active,Verified,Low,Low,30270.76,794,8.3,0.0,0,0,0,0
LS021521,2026-08-01,CR,Food & beverage,45,Closed,Verified,Low,Low,7432.57,128,28.0,0.0109,1,1,0,0
LS046960,2026-08-01,MX,Retail,32,Active,Verified,Low,Medium,4740.8,46,13.6,0.0192,1,0,0,0
LS050083,2026-08-01,US,Professional services,41,Active,Verified,Low,High,31358.25,325,30.5,0.0211,0,1,0,1
LS058154,2026-08-01,US,Digital goods,22,Active,Verified,Low,High,14593.4,203,29.7,0.0144,2,1,1,1
LS058871,2026-08-01,US,Professional services,27,Active,Verified,Low,Low,16564.7,145,42.7,0.0127,1,1,0,0
LS034393,2026-08-01,US,Food & beverage,39,Active,Verified,Low,High,1953.53,30,19.3,0.0121,2,0,0,0
LS000693,2026-08-01,US,Food & beverage,35,Active,Verified,Low,Medium,6034.05,126,41.2,0.0171,0,1,0,0
LS023247,2026-08-01,US,Retail,26,Closed,Verified,Low,Low,9796.49,118,24.5,0.0035,1,1,0,0
LS054200,2026-08-01,BR,Professional services,10,Active,Verified,Medium,High,149356.89,1118,13.8,0.0054,0,0,0,0
LS026003,2026-08-01,CR,Retail,28,Active,Verified,Low,High,2354.78,37,55.4,0.0312,2,0,0,0
LS019538,2026-08-01,US,Digital goods,21,Active,Verified,Low,Medium,5300.52,61,28.1,0.021,1,1,0,0
LS040785,2026-08-01,MX,Retail,32,Active,Verified,Medium,High,2988.29,54,35.7,0.0195,0,1,1,0
LS047953,2026-08-01,US,Digital goods,-1,Active,Verified,High,Low,6560.28,142,23.5,0.0135,1,1,0,0
LS015956,2026-08-01,BR,Professional services,30,Active,Verified,Low,Medium,3198.23,34,26.5,0.0,2,0,0,0
LS048987,2026-08-01,MX,Professional services,10,Active,Verified,Low,Medium,4699.75,79,15.6,0.0236,0,1,0,0
LS012720,2026-08-01,US,Travel,23,Active,Verified,Medium,Medium,31037.47,564,27.1,0.0055,0,1,1,0
LS041323,2026-08-01,US,Retail,34,Active,Verified,Medium,Low,7403.09,203,29.7,0.0179,0,0,1,0
LS002296,2026-08-01,US,Food & beverage,27,Active,Verified,Medium,Medium,38851.82,393,30.4,0.0078,2,1,1,0
LS041663,2026-08-01,MX,Food & beverage,32,Active,Verified,Low,Low,25853.22,376,18.4,0.0,0,1,1,0
LS043859,2026-08-01,BR,Retail,25,Active,Expired,High,High,11469.57,188,22.8,0.011,0,0,1,1
LS058137,2026-08-01,BR,Food & beverage,11,Active,Verified,High,Low,22837.87,354,27.7,0.0021,1,1,0,0
LS015789,2026-08-01,MX,Retail,77,Active,Verified,Low,Medium,7724.68,177,25.0,0.0218,0,1,1,0
